Date,Price,Open,High,Low,Vol.,Change %
03/07/2008,925.54,938.07,938.07,916.83,251.41M,-1.34%
03/06/2008,938.07,950.25,951.79,935.94,217.34M,-1.28%
03/05/2008,950.25,931.71,954.31,931.71,257.92M,1.99%
03/04/2008,931.71,954.22,962.25,925.64,282.93M,-2.36%
03/03/2008,954.22,965.29,965.29,941,214.79M,-1.15%
02/29/2008,965.29,971.08,972.54,955.97,253.89M,-0.60%
02/28/2008,971.08,986.3,988.54,971.02,221.78M,-1.54%
02/27/2008,986.3,980.1,986.3,969.77,247.84M,0.63%
02/26/2008,980.1,961.88,982.82,961.88,256.74M,1.89%
02/25/2008,961.88,944.13,963.34,944.13,204.98M,1.88%
02/22/2008,944.13,959.79,959.79,939.93,265.20M,-1.63%
02/21/2008,959.79,954.53,972.23,954.53,234.77M,0.55%
02/20/2008,954.53,967.42,967.42,948.22,254.40M,-1.33%
02/19/2008,967.42,962.13,977.77,953.76,263.63M,0.55%
02/18/2008,962.13,938.79,964.2,938.73,160.93M,2.49%
02/15/2008,938.79,950.84,957.45,935.24,238.13M,-1.27%
02/14/2008,950.84,949.05,967.82,947.42,288.10M,0.19%
02/13/2008,949.05,945.41,950.49,922.9,293.74M,0.39%
02/12/2008,945.41,911.39,946.3,906.92,327.31M,3.73%
02/11/2008,911.39,920.76,920.76,905,231.11M,-1.02%
02/08/2008,920.76,925.87,933.04,907.74,379.14M,-0.55%
02/07/2008,925.87,951.84,951.84,923.18,313.09M,-2.73%
02/06/2008,951.84,945.63,951.85,934.92,288.73M,0.66%
02/05/2008,945.63,976.46,977.99,941.31,331.73M,-3.16%
02/04/2008,976.47,976.43,987.98,974.94,305.95M,0.00%
02/01/2008,976.43,949.04,983.47,947.21,520.75M,2.89%
01/31/2008,949.04,951.14,951.84,931.49,318.69M,-0.22%
01/30/2008,951.14,956.97,957.94,945.22,223.34M,-0.61%
01/29/2008,956.97,949.08,959.56,949.08,236.68M,0.83%
01/28/2008,949.08,961.69,961.69,934.33,209.76M,-1.31%
01/25/2008,961.68,958.55,977.19,956.49,281.32M,0.33%
01/24/2008,958.55,921.28,967.25,921.28,352.65M,4.05%
01/23/2008,921.28,955.93,966.07,914.56,396.44M,-3.62%
01/22/2008,955.93,917.75,958.03,875.02,535.27M,4.16%
01/21/2008,917.75,957.63,957.63,913.78,399.05M,-4.16%
01/18/2008,957.63,966.29,982.33,954.13,291.95M,-0.90%
01/17/2008,966.29,965.63,986.58,962.11,321.01M,0.07%
01/16/2008,965.63,972.15,987.07,951.96,394.62M,-0.67%
01/15/2008,972.15,1008,1008.07,967.8,299.77M,-3.56%
01/14/2008,1008,987.94,1010.71,984.87,262.12M,2.03%
01/11/2008,987.94,989.7,995.55,980.8,310.11M,-0.18%
01/10/2008,989.7,1003.69,1014.69,982.55,282.69M,-1.39%
01/09/2008,1003.69,1024.42,1024.42,998.82,284.10M,-2.02%
01/08/2008,1024.42,1011.49,1035.74,1009.58,280.06M,1.28%
01/07/2008,1011.49,1014.63,1024.03,1000.01,281.95M,-0.31%
01/04/2008,1014.63,1050.61,1051.63,1013.17,272.48M,-3.43%
01/03/2008,1050.62,1058.37,1061.97,1039.17,230.67M,-0.73%
01/02/2008,1058.37,1081.44,1081.44,1056.54,142.53M,-2.13%
12/28/2007,1081.44,1073.66,1082.89,1068.02,185.53M,0.72%
12/27/2007,1073.66,1078.93,1087.86,1073.14,140.95M,-0.49%
12/21/2007,1078.92,1059.99,1080.58,1059.99,206.86M,1.79%
12/20/2007,1059.99,1064.47,1074.64,1059.82,186.82M,-0.42%
12/19/2007,1064.47,1064.62,1072.08,1058.43,251.61M,-0.01%
12/18/2007,1064.62,1067.85,1078.63,1059.82,240.93M,-0.30%
12/17/2007,1067.85,1097.69,1097.69,1067.26,205.61M,-2.72%
12/14/2007,1097.68,1102.12,1109.76,1087.43,173.21M,-0.40%
12/13/2007,1102.12,1129.88,1129.88,1099.12,205.26M,-2.46%
12/12/2007,1129.88,1131.58,1136.57,1111.71,246.44M,-0.15%
12/11/2007,1131.58,1130.9,1136.19,1120.48,188.15M,0.06%
12/10/2007,1130.9,1119.7,1136.58,1114.11,172.17M,1.00%
12/07/2007,1119.7,1105.23,1120.55,1105.23,168.70M,1.31%
12/06/2007,1105.23,1101.87,1122.98,1095.27,255.23M,0.30%
12/05/2007,1101.87,1081.22,1103.55,1080.05,292.70M,1.91%
12/04/2007,1081.22,1102.39,1104.01,1077.08,240.84M,-1.92%
12/03/2007,1102.39,1106.71,1111.7,1098.69,186.51M,-0.39%
11/30/2007,1106.71,1099.11,1112.32,1098.21,288.93M,0.69%
11/29/2007,1099.11,1094.36,1104.98,1089.76,254.29M,0.43%
11/28/2007,1094.36,1058.63,1094.97,1051.69,270.91M,3.38%
11/27/2007,1058.63,1062.65,1068.72,1046.57,269.05M,-0.38%
11/26/2007,1062.65,1055.93,1084.94,1055.93,237.02M,0.64%
11/23/2007,1055.93,1053.64,1063.7,1053.07,208.86M,0.22%
11/22/2007,1053.64,1059.08,1071.02,1050.87,328.01M,-0.51%
11/21/2007,1059.08,1076.95,1076.95,1051.72,712.28M,-1.66%
11/20/2007,1076.95,1065.74,1092.89,1051.71,441.78M,1.05%
11/19/2007,1065.74,1096.69,1106.51,1059.42,257.10M,-2.82%
11/16/2007,1096.69,1102.59,1103,1087.61,247.64M,-0.54%
11/15/2007,1102.59,1121.57,1125.06,1094.39,271.36M,-1.69%
11/14/2007,1121.58,1120.29,1138.62,1107.93,273.15M,0.12%
