"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2015","1,691.03","1,576.17","1,695.37","1,567.63","2.06B","7.46%"
"01/01/2015","1,573.62","1,470.55","1,582.10","1,421.34","2.15B","7.45%"
"12/01/2014","1,464.55","1,454.21","1,479.37","1,386.61","1.68B","0.22%"
"11/01/2014","1,461.34","1,413.69","1,474.89","1,396.23","1.51B","3.43%"
"10/01/2014","1,412.84","1,396.48","1,414.08","1,246.56","2.42B","0.70%"
"09/01/2014","1,403.00","1,390.63","1,424.22","1,376.18","1.67B","1.02%"
"08/01/2014","1,388.89","1,378.89","1,398.48","1,320.99","1.28B","0.65%"
"07/01/2014","1,379.87","1,377.87","1,409.44","1,355.55","1.48B","0.22%"
"06/01/2014","1,376.81","1,406.26","1,410.09","1,369.65","1.31B","-1.80%"
"05/01/2014","1,402.08","1,369.31","1,404.63","1,341.83","1.54B","2.76%"
"04/01/2014","1,364.39","1,367.46","1,382.13","1,328.82","1.79B","-0.04%"
"03/01/2014","1,364.97","1,344.50","1,376.45","1,317.92","2.02B","-0.30%"
"02/01/2014","1,369.13","1,302.80","1,373.68","1,275.77","1.85B","4.96%"
"01/01/2014","1,304.45","1,333.98","1,358.55","1,292.04","2.09B","-2.14%"
"12/01/2013","1,332.95","1,307.75","1,338.53","1,252.69","1.65B","1.93%"
"11/01/2013","1,307.71","1,285.45","1,316.30","1,269.75","1.49B","1.88%"
"10/01/2013","1,283.52","1,261.11","1,300.92","1,234.04","1.99B","1.90%"
"09/01/2013","1,259.60","1,222.11","1,291.88","1,220.98","1.98B","3.73%"
"08/01/2013","1,214.35","1,240.66","1,265.88","1,206.12","1.44B","-1.60%"
"07/01/2013","1,234.07","1,158.31","1,242.05","1,141.90","1.75B","7.22%"
"06/01/2013","1,151.00","1,207.63","1,222.66","1,108.96","2.04B","-5.25%"
"05/01/2013","1,214.77","1,191.30","1,257.56","1,186.79","1.85B","1.32%"
"04/01/2013","1,198.99","1,202.26","1,211.25","1,140.69","2.26B","-0.18%"
"03/01/2013","1,201.19","1,199.94","1,222.80","1,179.75","1.84B","0.15%"
"02/01/2013","1,199.40","1,167.72","1,212.32","1,156.82","1.98B","2.59%"
"01/01/2013","1,169.17","1,122.46","1,182.12","1,116.62","2.15B","5.83%"
"12/01/2012","1,104.73","1,089.16","1,114.05","1,085.16","1.43B","1.74%"
"11/01/2012","1,085.85","1,050.03","1,090.94","1,026.47","1.70B","3.21%"
"10/01/2012","1,052.11","1,069.73","1,098.72","1,034.55","2.01B","-1.90%"
