Date,Close/Last,Open,High,Low
03/27/2024,2669.49,2683.39,2700.84,2659.89
03/26/2024,2687.53,2687.53,2701.79,2672.02
03/25/2024,2697.51,2697.51,2700.46,2676.37
03/22/2024,2683.39,2688.53,2697.24,2674.35
03/21/2024,2690.17,2690.17,2699.80,2643.03
03/20/2024,2703.66,2703.66,2703.66,2687.22
03/19/2024,2687.69,2687.69,2725.21,2687.46
03/18/2024,2717.70,2717.70,2717.83,2682.25
03/15/2024,2698.09,2732.16,2745.18,2698.09
03/14/2024,2751.08,2751.08,2762.54,2726.01
03/13/2024,2718.18,2718.18,2754.02,2709.25
03/12/2024,2739.60,2739.60,2749.80,2672.31
03/11/2024,2696.84,2696.84,2747.03,2691.10
03/08/2024,2718.42,2715.47,2741.71,2707.28
03/07/2024,2738.69,2738.69,2765.60,2598.89
03/06/2024,2591.15,2591.15,2608.28,2578.29
03/05/2024,2600.26,2600.26,2665.08,2594.74
03/04/2024,2653.22,2653.22,2661.20,2628.36
03/01/2024,2605.63,2575.97,2605.63,2533.10
02/29/2024,2534.15,2534.15,2567.73,2532.78
02/28/2024,2552.36,2552.36,2574.96,2543.51
02/27/2024,2557.47,2557.47,2590.54,2497.21
02/26/2024,2578.09,2578.09,2593.29,2574.15
02/23/2024,2588.79,2594.33,2601.89,2586.24
02/22/2024,2600.02,2600.02,2606.14,2579.98
02/21/2024,2556.34,2556.34,2565.07,2524.44
02/20/2024,2580.78,2580.78,2620.12,2568.75
02/16/2024,2614.09,2607.21,2614.30,2599.45
02/15/2024,2593.81,2593.81,2602.55,2575.81
02/14/2024,2581.08,2581.08,2582.91,2545.62
02/13/2024,2546.86,2546.86,2570.59,2536.10
02/12/2024,2553.29,2553.29,2588.71,2542.43
02/09/2024,2556.10,2555.69,2559.65,2531.19
02/08/2024,2514.03,2514.03,2545.32,2509.68
02/07/2024,2539.69,2539.69,2550.52,2491.41
02/06/2024,2513.56,2513.56,2534.63,2497.26
02/05/2024,2502.02,2502.02,2527.94,2453.14
02/02/2024,2450.37,2452.01,2476.30,2438.95
02/01/2024,2461.43,2461.43,2480.00,2432.78
01/31/2024,2436.89,2436.89,2476.81,2371.76
01/30/2024,2381.57,2381.57,2407.23,2377.72
01/29/2024,2378.93,2378.93,2381.44,2356.39
01/26/2024,2351.75,2352.54,2356.52,2327.86
01/25/2024,2336.23,2336.23,2343.23,2324.35
01/24/2024,2330.94,2330.94,2348.27,2328.90
01/23/2024,2324.45,2324.45,2335.62,2297.08
01/22/2024,2338.62,2338.62,2346.86,2328.47
01/19/2024,2340.80,2343.15,2359.94,2336.43
01/18/2024,2347.21,2347.21,2357.29,2337.24
01/17/2024,2349.17,2349.17,2352.74,2329.50
01/16/2024,2360.47,2360.47,2360.75,2342.76
01/12/2024,2355.23,2371.11,2376.98,2350.52
01/11/2024,2358.31,2358.31,2396.21,2357.79
01/10/2024,2375.21,2375.21,2375.37,2344.86
01/09/2024,2348.89,2348.89,2353.11,2338.04
01/08/2024,2337.17,2337.17,2350.62,2326.96
01/05/2024,2348.56,2337.52,2352.27,2330.82
01/04/2024,2352.29,2352.29,2356.25,2297.08
01/03/2024,2286.98,2286.98,2293.75,2266.44
01/02/2024,2283.27,2283.27,2295.26,2259.65
12/29/2023,2283.53,2280.22,2290.40,2278.59
12/28/2023,2283.04,2283.04,2297.09,2271.47
12/27/2023,2266.57,2266.57,2280.34,2252.50
12/26/2023,2267.75,2267.75,0.00,0.00
12/22/2023,2267.75,2266.28,2274.63,2258.16
12/21/2023,2272.59,2272.59,2275.69,2254.01
12/20/2023,2259.00,2259.00,2259.38,2221.54
12/19/2023,2228.08,2228.08,2232.81,2209.74
12/18/2023,2214.57,2214.57,2223.49,2204.63
12/15/2023,2188.83,2195.83,2197.88,2175.11
12/14/2023,2187.27,2187.27,2221.85,2175.80
12/13/2023,2180.53,2180.53,2186.88,2162.94
12/12/2023,2149.68,2149.68,2160.55,2129.66
12/11/2023,2178.44,2178.44,2197.60,2172.92
12/08/2023,2182.76,2175.27,2190.01,2165.52
12/07/2023,2175.27,2175.27,2207.74,2166.49
12/06/2023,2204.68,2204.68,2228.92,2201.73
12/05/2023,2218.41,2218.41,2225.21,2203.29
12/04/2023,2225.67,2225.67,2244.59,2213.42
12/01/2023,2233.68,2216.80,2233.68,2196.68
11/30/2023,2226.45,2226.45,2227.18,2193.04
11/29/2023,2206.11,2206.11,2210.61,2181.06
11/28/2023,2189.20,2189.20,2225.42,2188.19
11/27/2023,2244.04,2244.04,2265.03,2241.23
11/24/2023,2255.36,2242.12,2255.97,2237.20
11/22/2023,2240.36,2224.53,2245.01,2223.86
11/21/2023,2221.82,2221.82,2233.76,2208.15
11/20/2023,2236.36,2236.36,2236.36,2195.91
11/17/2023,2214.27,2218.40,2220.76,2181.49
11/16/2023,2170.93,2170.93,2183.28,2151.35
11/15/2023,2168.19,2168.19,2185.90,2158.04
11/14/2023,2180.38,2180.38,2203.07,2174.28
11/13/2023,2185.46,2185.46,2235.71,2163.49
11/10/2023,2171.82,2183.65,2209.26,2164.41
11/09/2023,2187.27,2187.27,2210.27,2185.52
11/08/2023,2224.79,2224.79,2237.07,2194.10
11/07/2023,2188.43,2188.43,2203.26,2174.49
11/06/2023,2184.37,2184.37,2186.91,2146.51
11/03/2023,2152.89,2162.41,2199.58,2138.82
11/02/2023,2210.86,2210.86,2222.01,2153.64
11/01/2023,2149.64,2149.64,2163.53,2132.97
10/31/2023,2132.51,2132.51,2153.30,2123.45
10/30/2023,2123.42,2123.42,2136.33,2096.68
10/27/2023,2088.04,2091.19,2118.47,2077.45
10/26/2023,2115.04,2115.04,2122.19,2085.55
10/25/2023,2139.75,2139.75,2156.18,2114.34
10/24/2023,2135.13,2135.13,2144.76,2110.07
10/23/2023,2132.50,2132.50,2149.73,2117.46
10/20/2023,2127.92,2139.69,2157.89,2126.00
10/19/2023,2139.76,2139.76,2203.69,2130.37
10/18/2023,2209.48,2209.48,2224.92,2203.79
10/17/2023,2228.14,2228.14,2250.99,2218.54
